"Komentar","Kategori","",""
"WAKTU CHECKOUT DIBATALKAN SISTEM MULU , KALAU NGGAK NIAT NGASIH VOUCHER MENDING NGGAL USAH ADA IKLAN PROMO²AN SEKALIAN!!! JATUHNYA NIPU TAU NGGAK","Negatif","",""
"Bebas ongkir apanya yg bebas ongkir wkwk","Negatif","",""
"😍❤️","Positif","",""
"Tokopedia kenapa sih paling ribet seller centre nya. Mau ngatur diskon aja di batesin per 50 varian. Pake XL file di tolak terus. Katro banget enginer nya. Ribet","Negatif","",""
"Linknya dimana min?","Netral","",""
"Toko eror","Negatif","",""
"mantap min murah semua","Positif","",""
"TOKPED MAKIN HARI MAKIN MERUGIKAN SELLER. DARI BIAYA ADMIN YANG NAIK TERUS DAN FITUR2 GA JELAS","Negatif","",""
"Toko pedia pliiiiis jangan ada kurir Si cepat dehhhh, paket lambat kadang suka nyimpen dmna aja 😢😢","Negatif","",""
"Promonya jam berapa min?","Netral","",""
"Keren 😍","Positif","",""
"Happy birthday mintoo 🔥🔥 semoga sukses selalu ❤️❤️","Positif","",""
"Hati2 di tokopedia, suka tipu2 utk pemakaian voucher","Negatif","",""
"Minceeeeee kasih nafas duluu guncang 8.8 aja masih berlangsung 😂😂😂","Netral","",""
"min cek dm dunn","Netral","",""
"Hallo tokopedia","Netral","",""
"Ongkir gratisnya paling apes dapet idexpress. masih aja dipake jasa kiriman yg ngga jelas","Negatif","",""
"Mudah2an dapat barang di 11.11 Tokopedia 🔥","Positif","",""
"Camera selalu aman😭","Netral","",""
"Siap banget 🔥🔥🔥🔥","Positif","",""
"PERCUMA ADA PROMO INI TP JIKA BEDA AKUN BELANJA DIKIRIM KE ALAMAT YG SAMA DIBATALKAN OLEH KALIAN! SISTEM KALIAN JELEK BANGET KALAH KAYA GINI CARANYA! KALAU SATU RUMAH ADA SAYA, SUAMI, ADIK DAN BELANJA PRODUK BERBEDA TP DIKIRIM KE ALAMAT 1 RUMAH LANTAS GAK BISA BUAT APA???","Negatif","",""
"Ongkir gratisnya paling apes dapet idexpress. masih aja dipake jasa kiriman yg ngga jelas","Negatif","",""
"Tim tiap hari cek promo tokped","Netral","",""
"Yuk tokped, jangan mau kalah sama ssbelah 🔥","Positif","",""
"Menyala tokopedia 🔥","Positif","",""
"Smpe kapan kak disc nya?","Netral","",""
"diskon nya gokil 😍🔥🔥","Positif","",""
"Promonya Dahsyat ❤️🔥","Positif","",""
"tokopedia lagi maintenance min?","Netral","",""
"MINNN CEK DM MINNN!!!!!!!","Netral","",""
"Ngakak mending langsung checkout aja deh di Tokopedia 😂😂","Positif","",""
"Manteb nih🔥","Positif","",""
"Jam berapa aja min?","Netral","",""
"Aokwowkwok iklan🗿","Netral","",""
"Susah Dapatnya 😣","Negatif","",""
"Goib ah","Negatif","",""
"Paket saya ga sampe sampe","Negatif","",""
"Sudah nga percaya lagi mengenai apapun ttg Tokopedia, VOUCHER AJA CUMAN GIMMICK, dana penjual dan pembeli pun dimakan, apapun cuma PHP doang , malu ah Tokopedia 🤣🤣","Negatif","",""
"Ada aja idenya(lagi)😅","Positif","",""
"Masya Allah 🥰","Positif","",""
"voucher 30% atau 50% udah gak ada","Negatif","",""
"Haha sumpah ini comedy consultannya siapa 😂😂😂","Positif","",""
"halo min ini knp ya ekspedisi sapx gamau kirim terus? selalu stuck dan ga dikirim kirim lagi.","Negatif","",""
"Hallo tokopedia","Netral","",""
"Min kalo meeting lagi titip salam ada loker design gak? Kalo ada lgsg gas nih 😂","Netral","",""
"Gilak, biaya layanan tokopedia naik lagi per 1 mei ini. Makìn boncos aja nih seller toped","Negatif","",""
"Min buka loker ngk?😂","Netral","",""
"Mantap","Positif","",""
"Aku tadi udah check out proyektor akwkwkwkwkkk","Positif","",""
"Kurir rekomendasi nya sampah","Negatif","",""
"😂😂kocaakk bangeet","Positif","",""
"Print nya cm warna item doang ya?.","Netral","",""
"Ada kode voucher gk min?😢","Netral","",""
"Gemessh2 celananya😍😍","Positif","",""
"Wah mau banget nih","Positif","",""
"Bismillah 29% 👊","Positif","",""
"Denger denger bakalan ada promo lagi min?","Netral","",""
"Ongkir gratisnya paling apes dapet idexpress. masih aja dipake jasa kiriman yg ngga jelas","Negatif","",""
"Di tokped jual pacar gk","Netral","",""
"banyakin voucher cashback daripada diskon lah min","Negatif","",""
"Smpe kapan kak disc nya?","Netral","",""
"Delivery lama banget","Negatif","",""
"Gasssssssss borooong min 🔥🔥🔥","Positif","",""
"Klo mau Cashback gopay tuh kudu pembayaran pake gopay? Kalo dpt voucher cashback gopay tp pembayaran pake trf bank ga dpt kah?","Netral","",""
"Gausah promo dulu, beresin masalah refund pembeli yang ga beres berbulan bulan","Negatif","",""
"Yuk tokped, jangan mau kalah sama ssbelah 🔥","Positif","",""
"Ihhhh kereeenn dehh 😍","Positif","",""
"Buat talentnya aku doain sehat2 terus","Positif","",""
"CARA CHT CST LIVE NYA GMNA YA?","Netral","",""
"sampe kapan ini?","Netral","",""
"Ga jelas jam nya jam brpa?","Negatif","",""
"Pengiriman buruk","Negatif","",""
"Ini nih yg bikin tambah cinta sama tokopedia 😍","Positif","",""
"Auto save meme nya hihihi","Positif","",""
"Kirain akun Duolingo","Netral","",""
"Promo tumpuk masih ad gak sih min 🥺","Netral","",""
"Eh knp ini aplikasi gak bisa digunain duit aing masih nyangkut dari smlm","Negatif","",""
"Waduh harus gercep sih","Netral","",""
"🙌🙌🙌","Positif","",""
"Belum gajian min, tanggalannya blm abis bulan 😂😂","Netral","",""
"metode pembayaran nya bisa pakai dana gak ini min?","Netral","",""
"Yok gaskeeeeuunnn🔥🔥🔥","Positif","",""
"Gmn caranya aku gak pernah dapet","Negatif","",""
"Shopee lg gangguan kah. Dr kmrn kyknya buka di halaman saya gbs terus. Kosong layar putih gitu.","Negatif","",""
"Woww Murah Banget 😍","Positif","",""
"Diskon & voucher nya mantul","Positif","",""
"Kenapa shopee gk bs pilih expedisi?","Negatif","",""
"masker muka mungkin??","Netral","",""
"Min ko ga bisa bayar pake shopeepay si","Negatif","",""
"Diskon & voucher nya mantul","Positif","",""
"Uda 4 hari ini, Gimana perkembangannya, kok g ada inisiatif apa ku tengok","Negatif","",""
"Udah sering pake untuk belanja 😍","Positif","",""
"Aneh bgt ada pesenan di live 2 barang tapi yg masuk cuma 1. Padahal ga ada pembatalan atau. Benerin lagi sistem live nya min 😢","Negatif","",""
"INI STATUS BAYAR BELUM JUGA TERVERIFIKASI. UDAH TINGGAL 2 JAM LAGI !!!!!!","Negatif","",""
"Terbaikk shopee","Positif","",""
"Jarang selfie 🤭","Netral","",""
"Hemat banget pake promonya🔥","Positif","",""
"Oyyyy balikin duit shopeepay guaaaaaaa plisssss, jangan nyalahin pihak bank aja😢","Negatif","",""
"BELUM DAFTAR","Netral","",""
"Kalo ngasih voucher yg niat kek lu Shopee, eneqq bgt gue voucher goib mulu","Negatif","",""
"bangga❤️","Positif","",""
"🧡🧡","Positif","",""
"Tolong dong kak servernya di perbaikin. Dana saya gamasuk2 ini.","Negatif","",""
"Benerin voucher master gih, sengaja bgt di stuck di angka 5, niat g sih ngasi voucher","Negatif","",""
"Mantap bgt yg ditunggu-tunggu 10.10 🔥🥰🧡","Positif","",""
"Vocernya zonk min😭","Negatif","",""
"Kok punya gw halaman tidak tersedia","Negatif","",""
"Nitip sendal","Netral","",""
"Mantap pelanggan setia nih min","Positif","",""
"Wihhhh cusss cuss cuss","Netral","",""
"hahahaa","Netral","",""
"min saya dapet orderan fiktif cod. padahal saya ga pesen apa2, tapi karna yang nerima ortu jadi main bayar aja. masa saya pesen mukena, ukuran anak sd pula. aku lanang loh min. tolong keamanannya dijaga dong","Negatif","",""
"woyy kenapa pesanan gua tiba tiba pesanan selesai.. 😡.. gua gk mencet apa apa woy","Negatif","",""
"Halo min tolong respon dm saya yaa","Netral","",""
"Ada aku 😆","Netral","",""
"gasabar nunggu 10.10 keranjang udah penuh 🔥","Positif","",""
"Apakah shopee sudah bisa co dengan normal?","Netral","",""
"Yeah 🧡","Positif","",""
"Min balas chat dong pliss","Netral","",""
"UDA SEMINGGU ORDER GA DATENG WOI‼️SORTIR TERUS LEMPAR SANA SINI. Kira kira itu barang saya di tukerin kok mbulet aja‼️","Negatif","",""
"Makin Mudah Dan Banyak promo , Shopee 🧡🫶🏻","Positif","",""
"Siap terima kasih infonya Min 🙏","Netral","",""
"Inis serius ga si sekarang klo co udh gabisa milih ekspedisi lagi? Mana ada ekspedisi yg lemot banget di rumah ku sampenya😭😭","Negatif","",""
"lucuu juga min😂 ga sabar nih min promo shopee 10.10","Positif","",""
"Shopee makin gila masa pembayaran bisa double saldo gue yg kepotong!!!!!!! Aaarrgghh","Negatif","",""
"👏👏👏👏👏👏","Netral","",""
"MaasyaAllah, taun depan aku yang begitu hihi aamiin😂","Positif","",""
"Ini gimana shopee..pembelian eror alias batal ...tp saldo kepotong","Negatif","",""
"Kebanyakan biaya penanganan , biaya pelayanan njir","Negatif","",""
"Bosan lapor masalah pembayaran ga terverifikasi. BCA disuru ke shope, shope disuru ke BCA.. sueee 😡","Negatif","",""
"Promo terbaik minn😍","Positif","",""
"Tau aja 😂","Netral","",""
"Tolong mudahkan kami yg ingin menonaktifkan shopeepaylater permanen tanpa hapus akun . Biar kami jg tenang kalian tenang gk di utang"". Kami ingin belanja di shopee dengan tenang tanpa utang. Tolong dengerin admin","Negatif","",""
"kak maaf, mau tanya, akun shopeepay later saya ada yang ngebajak , kalau ngurus akun biar di blokir kemana yah, saya dari bandung?","Negatif","",""
"Menarik min😍","Positif","",""
"SuperBranDay PromoDay 😍","Positif","",""
"shopee memang tempat terbaik untuk belanja hemat karena banyak promo 😍🧡","Positif","",""
"Ada aja deh 😂","Netral","",""
"Auto belanja nih di shopee","Positif","",""
"duh cakeup banget😍","Positif","",""
"my lovely bias is ANTON 🧚🏻‍♀️🎻🦕","Netral","",""
"Weh ini nyaman banget😂","Positif","",""
"Sheet mask","Netral","",""
"Topang Dagu Min🔥🔥🔥","Netral","",""
"Mantul Pisan ... Gaskeun Langsung","Positif","",""
"TRUTH Baju Spiderman anak🙌😍","Netral","",""
"Shopee ekspedisi lu parah","Negatif","",""
"Mata😮","Netral","",""
"Pelanggan komplain beli susu palsu di toko COD kota tdk jg direspon","Negatif","",""
"shope tetap dihati🔥","Positif","",""
"Promonya mantap🔥🧡","Positif","",""
"Aq pakai penggorengan, tambahin gula merah","Netral","",""
"Duh pokonya jangan ya dek yaa😂","Netral","",""
"Kalau masuk oven bisa kak ?.","Netral","",""
"suka banget mantau-mantau diskonnya shopee","Positif","",""
"Terbaik Shopee","Positif","",""
"Hahahhaaa cucok😂😂😂😂","Positif","",""
"Ini coba muncul tim kreatifnya shopee, kocak kocak bener dah😂","Positif","",""
"Bagaimanapun harinya tetap co shopee","Netral","",""
"Lucuukk bangett minn","Positif","",""
"dahh lahh gue dah tau endingnya wkwkw","Netral","",""
"suka banget mantau-mantau diskonnya shopee","Positif","",""
"LAGI GIMMIK KAWAN🤣🤣","Netral","",""
"Dari semlm eror ,sampe kebawa hape jd lemot itu knp sih","Negatif","",""
"min,masih down yaa servernya ko saya hubungin cs'nya ga bisa","Negatif","",""
"Mesin cuci, sepeda n hape baruuuu🧡🔥🥰","Positif","",""
"Wah menarik wajib di order 😍😍","Positif","",""
"Rok, skincare dan smartphone","Netral","",""
"3 Produk Incaran aku adalah Smartphone, Kompor Portable, & Skincare 🧡","Netral","",""
"shopeeku ini kenapa sih, masak keluar” sendiri terus gini dari kemarin, habis buka shopee hpku selalu lemot, gmn inii ???","Negatif","",""
"Pinjam duit 😂","Netral","",""
"Gratis buat aku aja gimana min,😂","Positif","",""
"he he","Netral","",""
"Kerenn👍👍","Positif","",""
"Kamu duniaku 😱🥴","Netral","",""
"Expedisi SPX KACAU SUMPAH!!! MASA BDO K BDO 3 HARI GA DI AMBIL""!!! BEMERIN DLU LAH SERVICE NYA!!! KACAU","Negatif","",""
"🐨height","Netral","",""
"Top up shopeepay dari kmrn gk masuk masuk dana nya udh 1x24 sejak laporan lho min.","Negatif","",""
"buat end user, belanja online lo makin mahaaaaalllll!!!!!!","Negatif","",""
"Gitu ya min ,baru tau , nice tips😍","Positif","",""
"Udah gasabar banget nih min mau borong belanjaan di shopee 9.9😍🔥","Positif","",""
"bohong iklannya tidak sesuai kenyataan","Negatif","",""
"gasaabar even 9.9 min","Positif","",""
"Min,, aplikasi shopee lagi tidak bisa di buka yh??","Negatif","",""
"Semoga dpt lg 😅","Positif","",""
"Test dimana kak?","Netral","",""
"Winter😍","Positif","",""
"Pokonya tuh shopee the best lah. Bnyak vocher ongkirnya","Positif","",""
"Min gimana complain tagihan spaylater padahal saya tidak mengambil pinjaman tersebut tiba2 saya dapat tagihan itu","Negatif","",""
"min knpa skrng pembayaran shopeepay harus pake biaya penanganan sihh😭","Negatif","",""
"Sunscreen 🥰","Netral","",""
"Still life ft Anderson Paak, lagunya enak easy listening, maknanya juga okay","Positif","",""
"Siappp minnnn selalu di Shopee ❤️","Positif","",""
"Casing hp","Netral","",""
"Otewehhh😂","Netral","",""
"aaa aku ga dapet voucher nya padahal baru kelewat 1mnit 😔😔😔","Negatif","",""
"Voucher diskon makin kecil, biaya admin penjualan makin gede. Ditinggal pengguna lama2 ini shopee","Negatif","",""
"Cuss cekout","Positif","",""
"Skrg sopi co byk biaya admin ya sampe 2rb 😢, pdhl pk sopipay.","Negatif","",""
"Waktunya khilaf 😢","Netral","",""
"Telat 1 detik aja GK dapet","Negatif","",""
"Moonchild, setiap dengerin berasa dihibur","Positif","",""
"Pengen hp buat gantiin hp bapak yg rusak","Netral","",""
"ko gabisa cetak resi malah layar putih semua ini miiin aduh mana udh sore pula d tnggu driver huwaa","Negatif","",""
"Min gmn kasus shopepay dana kepotong, tp uangnya gak masuk kepenjual????","Negatif","",""
"Abis ini event apalagi nihhh shopee","Netral","",""
"Handphone baru","Netral","",""
"beneran mobil min??","Netral","",""
"Coba komen yg dpt disc 50%.. Krn udh mantengin dr sblm teng ttp aja ga dpt","Negatif","",""
"Sekarang pas masuk ke app shopee kok ada verifikasi puzzle gitu min? Gak nyaman aku. Jadi kelamaan.","Negatif","",""
"Shopee kenapa ngebug trus😢","Negatif","",""
"Balon tiup masih kebayang bau nya😂","Netral","",""
"TRS SPAYLATER SAYA JUGA GABISA DIPAKE LG UDH 2 THN LEBIH PDHL TIDAK ADA TUNGGAKAN APA APA","Negatif","",""
"Aplikasi elit pelayanan sulit","Negatif","",""
"Kasian atuhh uyy jagan pada di bully gini wkwk","Netral","",""
"Pelayanan penjualan instant tapi nyatanya product di kirim sameday service parah","Negatif","",""
"Done","Netral","",""
"Vouchernya goib, baru diklik sudah habis...","Negatif","",""
"UDAHLAH MIN STOP GIMMICK, TRIK MARKETINGNYA UDH BASI","Negatif","",""
"Promo Voucher kaget min","Netral","",""
"hallo kak saya top up di shopeepay status berhasil dari semalem tapi kenapa tidak masuk sampe sekarang, tolong bantu dong min😭","Negatif","",""
"Flash salenya 5000 aja dong 😍😍","Positif","",""
"Suka banget belanja di shopee, soalnya banyak diskonnya","Positif","",""
"Min komisi nya boleh dong dinaikan😚😍","Positif","",""
"DONE SEMUA🙌🔥","Netral","",""
"Mohon bantuannya mimin di DM ya matur nuwun","Netral","",""
"Dari 2016 aku pakai shopee miin","Positif","",""
"Masih eror ya gaes shopee?","Netral","",""
"Makan dah","Netral","",""
"sumpah demi apa Shopee promonya gede gini","Positif","",""
"Ternyata banyak ya.. yang shopee nya error😢","Negatif","",""
"min buka dm ya","Netral","",""
"Knp sering telat Mulu skrng yak min.dah beberapa kali claim vc ini.","Negatif","",""
"wah haruss buka keranjang nichhhh😂","Positif","",""
"Garansi Tepat waktu","Positif","",""
"Dispenser 🧡🧡👌","Netral","",""
"Kue Nastar , pisang Sale , kurma","Netral","",""
"Min akun shoppe saya, gimana kbr nya knpa belum juga dipulihkan sudah hampir seminggu belum ada kabar","Negatif","",""
"😍😍 thax Min udh ngingetin walau gak dpt² 😁","Positif","",""
"Min nanyak. Spx itu ada ig nya ga?? Kalau ada masalah gtu bisa chat dimana?","Netral","",""
"Mesin cuci Sharp 🧡","Netral","",""
"Smartphone min🙃","Netral","",""
"Min tolong laporanku dr kemaren ga ada kejelasan, udh lapo cs berkali"" telp cs berkali"" tetep aja ga ada kejelasan. Uang 700k itu gede buat aku min tolong balikin","Negatif","",""
"Siap ka, stay trus😍","Positif","",""
"Murah tapi mewah😍","Positif","",""
"Sorry skip, produk boykot","Negatif","",""
"Maaf skip, produk buycut","Negatif","",""
"first nih minn, dpet apaa","Netral","",""
"Lengkap, murah dan mudah","Positif","",""
"Gassss Checkout","Positif","",""
"paling suka belanja di Shopee","Positif","",""
"Check out shopee min","Netral","",""
"Done","Netral","",""
"Info dong shopee udah sembuh dari eror apa belom ya?","Netral","",""
"Selalu bikin mau belanja trs 😋","Positif","",""
"Aplikasinya lagi gangguan gak ya min? Kok aku gak bisa CO ya","Negatif","",""
"Hadir min","Netral","",""
"Kenapa tiap mau buka selalu sistem sedang diperbaharui min😢","Negatif","",""
"Gercepin kuy","Positif","",""
"Shopee lgi ada gangguan gak? Apa cuman hp aku aja","Negatif","",""
"CIRENG + PISANG GORENG🤩","Netral","",""
"Tahu Isi & Cireng, yg gurih","Netral","",""
"Shopee eror","Negatif","",""
" Garansi Tepat Waktu min 😍🔥😍😍😍","Positif","",""
"Asiiiiik 😍😍😍","Positif","",""
"Gercepin kuy","Positif","",""
"Top up shopeepay dari kmrn gk masuk masuk dana nya udh 1x24 sejak laporan lho min.","Negatif","",""
"Siap nyalakan notifikasi","Positif","",""
"Sederhana tapi tidak semua orang bisa😢","Negatif","",""
"Min aplikasi shopeenya kenapa gak bisa buat co ya. Gagal trs nih","Negatif","",""
"Tolong lah bagi voucher shopee nya , biar yang di keranjang kuning ku CO langsung","Netral","",""
"Miiin jadi ga bisa pilih jnt iiih 😢","Negatif","",""
"Desain bagus","Positif","",""
"Voucher nya ga ada 5 detik langsung habis","Negatif","",""
"Halo bisa sewa pesawat?","Netral","",""
"Shopee ga pernah libur kasih discountnya😍","Positif","",""
"Kalau perbaikan harusnya malam2 jangan di jam kerja","Negatif","",""
"Asikk bakal banyak promo dan diskon","Positif","",""
"Garansi Tepat Waktu ❤️😍","Positif","",""
"Ga boleh ketinggalan 😍😍😍","Positif","",""
"Lagi perbaikan ya??","Netral","",""
"gass min restocknya 🔥🔥","Positif","",""
"Shopee gangguan kah? Jaringan bermasalah terus , padahal jaringan bagus","Negatif","",""
"blm pernah nyobain ketoprakkk kumpuullll","Netral","",""
"KENAPA PEMBAYARAN SHOPEEPAY KENA BIAYA PENANGANAN seribu MIN??? 😢😢😢","Negatif","",""
"❤️❤️❤️ aku team pakai spaylater","Positif","",""
"Gak pernah dpt vocernya tiba2 habis","Negatif","",""
"Maksdunya gimana min? Buy any 2 ato any 3?","Netral","",""
"siap beli kopken✅❤️","Positif","",""
"mantep ada di lotte avenue😍","Positif","",""
"ih pengennn","Positif","",""
"seasalt choco nya manteppp!!🧡🧡","Positif","",""
"Harga nya jadi brp min?","Netral","",""
"mantap ini🔥","Positif","",""
"tersedia di semua gerai kan ya, min? dan bisa pesan online delivery nga tuh?","Netral","",""
"Baru mau cobain, udh pesan online, tp nyesel bru baca komen netzn. Komennya gak enak semuaa, parah si ni 😂","Negatif","",""
"Mohon maaf kalo ini rasanya jauh dibawah ekspektasi. Better butterscotch sea salt nya F*re sih","Negatif","",""
"Jadi total harganya berapa?","Netral","",""
"min kok aku beli greentea less sugar masih manis banget giung? trs agak aneh gitu rasanya😢😢😢😢","Negatif","",""
"Haii admin kapan yaa kenangan balik lagi ke rempoa 😊 kejauhan soalnya kalo ke veteran sama ke Bintaro satoe","Netral","",""
"Blu dah ga pernah dpt promo","Negatif","",""
"Caranya gmn","Netral","",""
"Cup sleeve franky dan robin ada kah? Kurang itu doang hm","Netral","",""
"Udah nyobain, mantul","Positif","",""
"s&k detailnya apa ya min","Netral","",""
"pesen sunny peach americano no sugar enak bgt 🤤","Positif","",""
"Sunny peach americanonya enakk 🔥🔥🔥","Positif","",""
"Aku habis beli di outlet Sidoarjo. Tapi cup nya gaada gambar onepiece nya. Sedih bgt","Negatif","",""
"Gak ada bedanya sama menu yg reguler, butterscotch nya bener"" gak kerasa, mana beli yg large, cuma bikin kembung aja, gak lagi deh","Negatif","",""
"Sunny peach americanooo ❤️❤️❤️","Positif","",""
"Di kopi kenangan harus uang pas?? Padahal recehan banyak saya lihat itu","Negatif","",""
"Ngopi dulu","Netral","",""
"Waktu itu pesen seasalt rasanya seasin ituu bjir 😩😩","Negatif","",""
"Complain salah pesanan, hingga 1 jam lebih tetap tidak ada kejelasan 😔","Negatif","",""
"Min untuk sleevenya udah tersedia di semua outlet ya?","Netral","",""
"Bukannya cobain lagi miin.. Ini mah udh fix hadi fav tambahan aku setelah kenangna mantan 🥰🥰🥰 aslii,, enak bgt deh..","Positif","",""
"BARU BELI GA DAPET SLEEVENYA 😭 kalo emang belom ada ya tolong menunya jangan di readyin dulu dong. Kecewa","Negatif","",""
"Minn cepett launching aku gasabaarrrr","Positif","",""
"KAPAN RELEASE KOPI DECAF","Netral","",""
"creamy aren latte ~ less sugar, itu enak bgtttt🤤","Positif","",""
"Min skrg di aplikasi gbs pembayaran via gopay,sm shopeepay ya min😢","Negatif","",""
"Baru mw beli tp baca komen byk yg ga dpt sleeve, hmmm","Negatif","",""
"ready di smua outlet??","Netral","",""
"Please kak balikan varian rasa blewah aerocano😢","Netral","",""
"aku dh nyobain magic spanish latte beneran enakkk🫡","Positif","",""
"Min, saya cari tiket pesawat dari pangkal pinang ke tanjung pandan & tanjung pandan ke jkt ko ga keluar2 ya beberapa hari ini?","Negatif","",""
"😍🔥💕😎💋🥰👍 masih wishlist nih haha","Positif","",""
"Seru bgt jalan-jalan sambil kulineran 😍😍","Positif","",""
"Permisi min, saya mau ambil poin kok sudah hangus ya? Dan gak bisa di ambil padahal belum seminggu saya menggunakan traveloka","Negatif","",""
"Menolak lupa traveloka ambil uang saya 6 jt👎 saat masuk pandemi dan banyak korbannya","Negatif","",""
"Boleh minta info paket tour Banyuwanginya min...??","Netral","",""
"Suasana puncak sangat mendukung buat kulineran wah pas banget nih rekomendasi nya jadi makin kepengen ke puncak","Positif","",""
"Rugi cm tidur wkwkwk, ga ada yg perjalanan siang kah?","Netral","",""
"Apakah 2jt.. termasuk penginapan?","Netral","",""
"Belum pernah nih ke Solo, kayaknya seru deh","Positif","",""
"Langganan bgt wey sama satenya!!","Positif","",""
"saya perlu telpon bicara dgn customer service yg bukan robot kemana?? ada kendala tiket pesawat sudah order dengan tambahan bagasi tapi di issued bagasi tidak ada dan di refund hanya uang bagasi. saya mau beli lagi bagasinya tdk bisa gmn","Negatif","",""
"Kursinya bisa hadap hadapan gak kk?","Netral","",""
"Wah, udah lama nggak ke Puncak. Jadi pengen ke sana lagi","Positif","",""
"Kecewa pakai Traveloka 😢","Negatif","",""
"Apakah 2jt.. termasuk penginapan?","Netral","",""
"Bikin konten mahal mahal. Pas dipake appnya eh malah mengecewakan. Pelayanan lambat, sengaja di lama lamain","Negatif","",""
"min minta kode potongan hotel dong??","Netral","",""
"Berangkat darimana min?","Netral","",""
"Hemat, Seru, Asik, Menyenangkan, dan Berkesan ❤️😍","Positif","",""
"Maaf, apakah aplikasinya sdg gangguan?","Netral","",""
"aplikasinya lg kendala kah?","Netral","",""
"Pakei camera apa ya?","Netral","",""
"Harga 3 juta an sudah all in ?","Netral","",""
