reviews,Negatif,Netral,Positif
senyum cinta kurang versi lt nihh pingin bangeddd senyum menangis,False,False,True
_okesya bri selasa syarat nya,False,True,False
dildoel_ nih yuk coba pas rumah,False,True,False
mcflurry matcha adain donk suka ng mflurry matcha,False,False,True
balikin mcflurry yg color surprise enak bgt,False,False,True
halo min semalem dibawain ko cappucino ya drpd thai tea,True,False,False
kembalikan mcflurry green tea,False,True,False
gambar ice cream nya milk tea kenyataannya cm dksh bubuk milk tea kayak kopi bkn kyk thai tea sedih,True,False,False
penipuan thai tea nya bubuk blend ice cream,True,False,False
gue pas kuliah china eskrimnya enaenak indo gk bunga sakura popcorn peach,True,False,False
yntrianti emg menunya jg tulisannya milk tea gugup thai tea hahahahah,False,True,False
liesdahani target besok wkwkw,False,False,True
hmmmmm menarik,False,False,True
andrenafilata maacih infonyaaa meluncur nihhh keren,False,False,True
harganya,False,True,False
wajib otw,False,False,True
balikin mcflurry matcha min pls,False,True,False
enakkk lho gaes ngiler,False,False,True
lukiyustian yangg,False,False,True
febemeiga tydak gigi ompong,False,True,False
chestadb cobain gaa,False,False,True
jelly ato bobba mcdonaldsid,False,True,False
matcha adain lg kak sedih,False,True,False
enak kaya nya ni,False,False,True
liesdahani mah khusus peyci aja onti,False,True,False
yuk gass naluriasafitri tertawa,False,False,True
gebrakan nya aja mekdii,False,True,False
minn kembalikan menu nasi rica,False,True,False
ok tks kak,False,True,False
indihome emng gangguan gmn ya router nya muncul lampu merah terussssss tolong indihome past respon,True,False,False
yaelaahhhh indihome gimana sih,True,False,False
udah mahaaallll kualitas jelek wifi suka hilang sinyal udah sebel bgt gue,True,False,False
pasang wifi chat me,False,True,False
kemana sih kerja dm ga balas² indihomecare internet gangguan loss lampu merah kemarin,True,False,False
cabut wifi berhenti pakai indihome posisi wifi nama adik yg aussie persyaratannya ribet banget vc jam kerja u kidding me adik aussie pengangguran yakali vc jam kerja konfirmasi pencabutan wifi lol pdhal udh surat kuasa udah nunjukin kk kakak adik ehhh gada kejelasan,True,False,False
sinyalnya indihome lemot udah loh pagi jam malem lelet parah ga digunain digunain jam maleman ga yg lancar banget,True,False,False
aiueoo_ keluhannya udh bener belum wifi nya,False,True,False
woi trobel,True,False,False
jam yg indikome los merah,True,False,False
gak jelas indihome pengajuan pindah wifi tanggal belum dipindah rumah lama udah ditempatin orang eh giliran saudara gw ngajuin udah gak dipasangpasang suruh nge dm balasannya diproses tertawa,True,False,False
punyaku tgl okt gak akses gak kompensasi gak tak bayar biarin dcnya telpon tak maki tertawa,True,False,False
udh kaa cabut kabel nya diemin dl bener lg,False,True,False
tagihan sih,True,False,False
tolong wifi tidak ganti password login kaya sistem error,True,False,False
min sinyal min gangguan,False,True,False
bayar indihome telat dikit denda down seharian kompensasinya pelanggan sedih,True,False,False
paket smooa tidak aktif tgl nov laporan no action kalo telat bayar langsung diputus,True,False,False
mohon admin migrasi paket tgl november paket tv addon yg lama ndak dipakaitapi skr instalasi paket yg belum selesaitiap telp cs belum hasil nunggu lama sdangkan tagihan ikt paket yg lama parah banget indiehome,True,False,False
nanya tagihan biaya admin biaya keterlambatan belum tanggal,True,False,False
sketsaars telpon ditutup apanya yg care,True,False,False
minggu knp lemot bgt yaa internet dirumah berasa pake wifi tetangga,True,False,False
indihomecare nihh kaga disolved pagi ga ad yg followupnya,True,False,False
indihomecare selevel telkom pelayanany mengenaskan senyum menangis,True,False,False
parah sih udah ngajuin pindahan lokasi cs nya fix bayar tagihan eh d tunggu mnggu teknisi ga dtg rumah ulang d tlp email sampe bosen kepastian mnggu indihome blm masuk lokasi rumah okdeh tggu indihome masuk dlu singkat cerita minggu sdh d psg instalasi d komplek rumah coba cek indihome tagihan parah nya tagiha an kayak bulanan gw gapake internet tagihan denda salah cs nya wktu tlp blg pindah hrs nunggu kurleb mngg tertawa nyusahin pelanggan parah emang,True,False,False
resepdapurmamanikita note kalu d pascabayar gw udah bayar pascabayar fix ngajuin pindahan,True,False,False
setujuuuu,False,True,False
indihome kaga pake wkwkwkwk klo telat bayar denda,True,False,False
ngeleg oy,True,False,False
aduhh ku jg tbtb diputus krn salah sistem mreka ga dikasih kompensasi pdhal udh bayar klo telat bayar dendaa wkwk kacauu ga dikasih kepastian jg selesainya,True,False,False
kemarin wifinya min lemot banget hilang sinyal mulu,True,False,False
gmn nii gw pake maen game aj lemot sinyal beginii,True,False,False
lagggggg,True,False,False
dr pas ujan indihome sring bgt lemot sehari bs berkali lampu nya merah,True,False,False
gmn ya indihome ganti perangkat kmren tp smpe skg wifi blum bs d gunakanseles n pelayanannya skg kurang bagus,True,False,False
tolong case id kzzfrf dr tgl ga slese diproses tunggu diblokirlah direset ulang blablabla,True,False,False
ssiiiiinyaaalleee buuooooosooookkkkk joooonnnn,True,False,False
cek dm min,False,True,False
min tolong cek dm sopan,False,True,False
internetnya tidak konek tanggal kak laporan kali akun yg berbeda belum solusi tolong bantuannya,True,False,False
ahhh siah si stabil si provider kt,True,False,False
retnaayuw kaya gini minggu teknisinya nggak datang² nyewa orang yg memperbaiki,False,True,False
min kenaikan tarif ya nggak pemberitahuan ya,False,True,False
muncul tagihan bayar prorata pemberhentian langganan telp cs ngga guna prorata tidak tersistem bagus,True,False,False
sitisalamah beralih turun mbps baik beralih indihome minggu aja,True,False,False
indihomecare dm lu gak jelas gak membantu ku skli,True,False,False
indihomecare dm ngga respon kirakira respon ngga,True,False,False
halo indihome pelanggan kecewa pindah alamat dr alamat lama proses nya lama bgt wilayah tanggal sep smp skrg november tlp dr x tlp hold nya lama bgt nunggu menit tipa tlp makan menit nya prosesproses aja tagihan berjalan tehnisi pasang instalasi tp dr kantor blm kabar dr kantor jg telat bayar kena denda tidak bayar blaclist trus kerugian sebulan yg bayarkan,True,False,False
indihomecare dm gaada respon,True,False,False
indihomecare sudag kak,False,True,False
indihomecare dm ngga respon plis indihome pegang telkomsel telkomsel downgrade balas coba dm spil nomor kontrak ngga respon,True,False,False
indihomecare lucu ya grup aja biaya layanan mending aplikasi terpisah indihome qris gk kena biaya nangis,True,False,False
indihome dirumah lelet ya memainkan game pointblank patah latah,True,False,False
indihomecare nggak info tambahan biaya rb whatsapp info kl diakses aplikasi my telkomsel,True,False,False
indihomecare mpbs aja asalnya mbps,False,True,False
min knp tagihan indihome ya,False,True,False
tagihan indihome bertambah ya kemaren,False,True,False
indihomecare udah dm bilang ya blm dm gmn sih,True,False,False
lapor gangguan indihome gimna bingung,False,True,False
indihomecare min cek tagihan gak hisa aplikasi my indihone diaplikasi jelas rinciannya alihkan my telkomsel gak rinci tagihannya tautau harga gak pemberitahuan rincian bayaran tolong tagihan rinciannya my telkomsel jelas biar tau kenaikan,True,False,False
migrasi paket tgl nov proses addon tv nya ndak dipakai tagihan bln pakek addon tv emg perusahaan plat merah gak bener pelayannannya kecewa,True,False,False
indihomecare ngga pake telkomsel pake indihome aja ko bayar layanan telkomsel ya,False,True,False
min indihome sy gangguan,True,False,False
halo admin kenaikan tagihan indihome kah paket rb,False,True,False
sinyal indihome jelek bgt jd gbs kerjain tugas kuliah,True,False,False
indihome kenaikan tarif ya ko skrg rb,False,True,False
indihome gimana udah komplain loh pagi sinyal hilangggg bayar ful perbaikan nihil jelek indihomecare telkomsel,True,False,False
beralih turun mbps ngak sihh indihome,False,True,False
indihome knp woi gangguan mulu sedih,True,False,False
indihomecare weh coba liat tuh komplain sibuk marketing doang perbaikan nihil payah,True,False,False
palenhokage nih indihomecare sibuk jualan after salesnya jelek parah gak becusssssss,True,False,False
lemotttttttttt keren keren keren nangis senyum,True,False,False
lelet bngt coyy,True,False,False
indihome aneh bgt pengajuan pindah alamat akunnya terblokir pdahal wifinya bs dibayar kendalanya jawabannya gak tau terblokir krn aneeeeh,True,False,False
indihome aneh banget ya pas bayar wifi oktober ga bayarkan sampe tanggal november cek bayar keterangannya eh tgl november wifi nya ga aktif cek tagihannya double indihome harapan palsu ya,True,False,False
ganti paket indihome gimanaa hubungin yaa apk mytelkomsel muter dibuka indihome nya ganti paket indohome ajaaa pemasangan dikasi paket internet telepon pemasangan paket teleponnya ga dipake yg dipake internetnya doang sedih lemot jaringannya,True,False,False
wifinya butut jirr,True,False,False
akun indihome lgi proses migrasi maksudnya ya bsa normal min,False,True,False
mending beralih myrepublic dah harganya murah harga flat ga kenaikan speed nya banding fup,False,True,False
indihomecare uda dm gada solusi kemarin,True,False,False
rekomendasi wifi indihome indihome skrg mahal trs kualitasnya jelek guysss pelanggannya kendala ga diselesaikan pemalassss gaji buta uyy,True,False,False
sya ga berlangganan knp biling ya tagihan terbayar,True,False,False
min tolong cek dm ya terimakasih,False,True,False
min kalo masang wifi gimana min,False,True,False
indihomecare terhitung sdh hri koneksi internet tidak senang,True,False,False
min semenjak disuruh pindah aplikasi myindihome mytelkomsel tagihannya kecewa banget deh lumayan naiknya,True,False,False
bukancinderellaak hahaha kak sdh hri sy gada koneksi internet gimana,True,False,False
isminoviab coba hubungin kak hubungin ni teknisinya udh dtg lgsg,False,True,False
min berhenti berlangganan disuruh tf rekening perorangan lgi ya,True,False,False
indihomecare cek dm,False,True,False
indihomecare loe bilang dm kagak bls tai konyol,True,False,False
fanani_zainn bot to bang tertawa,False,True,False
sihhhhh pas mesti down trus tau tau tagihannya marah mendengus marah,True,False,False
gek cek indihome app my telkomsel tulisannya eror klo ga tidak pelayanan marah marah,True,False,False
ngelapor mslh indihome my telkomsel tp respon nya lambat lama bayar aja mahal tp pelayanan,True,False,False
hahahahahahamid gua udah gangguan,True,False,False
aduh gimana min jaringan nya ko eror ya udah kemarin,True,False,False
tagihan indihome care g bls kabel putus aja blm progres udh haha,True,False,False
anggiagstiar_ jelek ya daerah mna abangnya,False,True,False
loh rbrb kali jutaan user ya lumayan mengantuk,True,False,False
ireneeeirmaa kabtangerang,False,True,False
internet indihome pagi gangguan ya,True,False,False
indihomecare via wa cmn read jelek udh,True,False,False
min tagihan,False,True,False
min hadiah give away saldo gopay kirim,False,True,False
noh tdi koneksi internet tidak lama banget penanganannya giliran tagihan dimahalin,True,False,False
saptoapra tagihan yah,True,False,False
koneksi internet buruk banget udah seminggu tagihan reminder by wa maintainance ga udah berlangganan kacau dah marah marah,True,False,False
internet mati kemarin muncul los ruter menghubungi cs kali lapor belum hasil nomor pelanggan gimana solusinya giliran telat bayar sehari aja matiin giliran lapor dikacangin,True,False,False
isminoviab kirain doang yg lemot internetnya,True,False,False
saptoapra sumpah kak nanyain pas reminder tagihan sedih,False,True,False
mohon tindak lanjuti nomor tiket kyrwc ksavjs pembayaran mohon perbaikan billing internet diisolir indihomenya,True,False,False
mohon tindak lanjuti tiket kyrwc ksavjs pembayaran mohon perbaikan billing internet diisolir indihomenya,True,False,False
min koneksi indihome jam bermasalah lokasi aimas sorong papua barat daya tolong tangani apresiasi,False,True,False
tagihan sih,False,True,False
minimal keluhan nya tanggepin sih duit nya aja jelek kalo bayar fasilitas ga dilengkapin nikmat,True,False,False
layanan indihome jelek jaringan payah,True,False,False
kapok langganan indihome jaringannya lelet kayak taiiiiiiii,True,False,False
sdh lapor k call center aja,False,True,False
jawabannya kayak gitu,False,True,False
halo min indihome tidak informasipemberitahuan email kenaikan harga alasannya terima kasih,False,True,False
tagihan mahal cepetpenanganan kureng,True,False,False
ngapa lemot bgt dah tolong udh byr mahal kualitas indihome,True,False,False
min jaringan daerah ku bekasi jaringan nya ngeleg kadang bagus min,False,True,False
min tolong cek dmnya makasih,False,True,False
woy ngelagggg,True,False,False
gamas ont merah jam selasa,True,False,False
lag mulu ni provider busuk busuk,True,False,False
aplikasi indihome pindah my telkomsel tagihan dm,False,True,False
tagihan nihh min sedih,False,True,False
minimal jaringan pelanggannya yg bermasalah diperbaikin disuruh tunggu wkkwwk bayar wifi ga telat giliran penanganan telat tinggal datangin aja teknisimu kesini selesai jgn gaji buta,True,False,False
indihome pelayanan terburuk pasang udah regristrasi eh h dibilang ga dipasang kocak menghabiskan,True,False,False
tolong indihome check daerah tepatnya sulawesi selatan bulukumba kecematan ujung bulu tepatnya bintarore wifi dirumah merah,False,True,False
dear indihome team udh registrasi detik tulis komen belum kabar dri teknisi indihome tolong dibantu percepat karna butuh internet kerjaaaaaa huaaaaaaaaah tolong bantu percepat karna internet kerja scrolling medsos thx,False,True,False
sinyalnya hilnggg,True,False,False
woii balas dm internet eror pajak ga telat marah,True,False,False
halo min cek dm ya sopan mengajukan pemberhentian layanan indihome,False,True,False
cita_kharismaa iya pake indihome pelayanannya jelek bgt sumpah,True,False,False
halo min cek dm,False,True,False
hellojiio dr dibilangnya diproses kak giliran diputus aja layanannya disuruh bayar tagihan bln proses kocak dipake engga disuruh bayar tertawa,True,False,False
nominal tagihannya,False,True,False
indihomecare oke ku dm ya,False,True,False
bayar gak telat tagihan wifi rb wifi tersambung gk akses internet senyum cinta suka suka,True,False,False
kak coba cek dm kak dm blm baca kak,False,True,False
kaget tau tagihannya,False,True,False
indihomecare kak,False,True,False
internet sy siang mati smpai ga teknisi,True,False,False
bimndnyee iya nih bang,False,True,False
indihomecare direspon dm responya template gt yaa,True,False,False
ya wifinya ga jaringan jam siamg,False,True,False
muhammadaris telpon call center jawabanya gangguan belum tau masalhanya clear tolong lost time ni,True,False,False
indihomecare iya merah,False,True,False
giliran pasang aja respon nya cepat pas ngadu keluhan direspon aja ngak sumpah nyesal pasang indihomesinyal buruk,True,False,False
myindihome tidak min,False,True,False
indihomecare yah my telkomsel tidak tuker poin myindihome gimana ni,False,True,False
bener,False,True,False
bimndnyee bang tiba²,False,True,False
halo indihome mohon bantuannya jaringan internet dirumah sy merah udah menit udah refresh merah tolong dibantu min,True,False,False
bener kaget tertawa,False,True,False
indihomecare cb cek lg yg bnr,False,True,False
indihomecare udah wa min perawatan jaringan telkom jaktim cawang sampe jam siang lama min,False,True,False
pelayanan buruk jgn yg pasang indihome plis,True,False,False
indihomecare dm dibaca bayar ga telat tp pelayanan nol,True,False,False
cita_kharismaa bener bgt nyesel pake indihome auto sebar keluarga temen jgn pake indihome tertawa,True,False,False
jauza_nada wkwkwk yakan,False,True,False
woi dm dr kmren,True,False,False
verosurbakti_ gua kmrem ga ni admin dah bayar,True,False,False
indihomecare udah,False,True,False
indihomecare oi klo info wa ga gua komen kesini,True,False,False
indihomecare rincian nya udh ku dm dri kemarin ga kirim rincian nya,False,True,False
indihomecare udh konek lg min kmrn teknisinya dtg,False,True,False
indihomecare udh min cek dm ya,False,True,False
harapanjaya_toko ga wa giliran tagihan blm bayar bru wa pembayaran tertawa,True,False,False
indihomecare pelanggan murah tarifnya pelanggan lama kalo disesuaikan tarif sesuaikan kalo gak putus aja terima kasih,True,False,False
nggak pemberitahuan bayar eh tambahan ribu senyum menangis,True,False,False
indihomecare on off,False,True,False
indihomecare ga notif wasms mencari pembenaran menngada ya,True,False,False
min kenaikan harga ga pemberitahuan nya yaa bayar tagihan oktober myindihome membayar rp pajak tagihan rp,False,True,False
cek tagihan pemakain indihome mytelkomsel bgmn bingung bgni,False,True,False
naiknya ga k k kemarin udah ngurus grapari n tagihan normal k cape banget,True,False,False
oooo emang kenaikan harga tidak pemberitahuan yaa kirain doank yg terkejut karna bayar naek pemberitahuan sedih,False,True,False
x brp juta pengguna weehh menyalaaa admin ku tertawa,False,True,False
lupa lemot ya,False,True,False
langganan loh hebat ya langsung perak blm lg biaya admin sengaja nyari yg murah tp ambyar gak mw bayar bagus,True,False,False
denoalkhoer iya tuh gajelas bgt gw bayar tagihan tp aplikasi indihome digabung aplikasi my telkomsel udah tbtb plus biaya adminnya bgt bayar aja ribet gasuka nih tbtb ganti provider aja yuk,True,False,False
efanediar bener nih urusan perusahaan urusan pelangganmaen seenaknya aja,True,False,False
enchanyudhistira bener nih dibebankan pelanggan,True,False,False
admin indihome menulis kenaikan biaya admin jelas bilang rp nya rp biar gak menyesatkan,True,False,False
miiqball nih gimana sih,False,True,False
jaka ya jl klpa tujuh kp cilubang ds sukawening rt kec dramaga bogor internet padam indikator lossmerah menyala,False,True,False
selamat siang ofc tolong ad in ko lampu merah ny nyala yg ny jaringan tidak solusi nya giman sedih,False,True,False
loemoetblueholic kali lipat,False,True,False
internet indihome lemot bangetttttttt pas bayar mahall banget,True,False,False
indihomecare moon maap min ga terima notif telkomsel tibatiba uhuy tertawa semoga sinyal stabil yaaa kemarin kureng sinyalnya,False,True,False
elu yg pindah mytelkomsel bebanin pelanggan,True,False,False
duh parah bayar tagihan nominal nya gak info cek myindihome ribet bgt skrng login nya pake app mytelkomsel gak nomer telkomsel gimana solusi nya please,False,True,False
indihome rumah mati total woyyy kaga jaringannya byr kga telat telat langsung kena denda tpi pelayanan kga baguzl sinyl ilang trus yaah ellahmana tagihan gilaaa,True,False,False
lucu ya harga seenak udel gada info dzalim penjual penyewa kdu deal harga,True,False,False
x juta pelanggan milyar lumayan tuh,False,True,False
indihomecare minimal pemberitahuan dl sblm nya via email wa wajar komplain kn sblm nya gk yg terima notif tntg kenaikan harga,True,False,False
tagihan tiba² weyy,True,False,False
kaget kenaikan tagihan gangguan minggu protes harga gangguan,True,False,False
parah sekelas indihome udah dijadwalkan tanggal instalasi pas h nggak teknisi bagus kesibukan gue cuman nunggu teknisi rumah aja kali wa cs cuman template nggak kejelasan bad service pol kalah provider lokal kampung mentangmentang pemain besar,True,False,False
koneksinya lemot sedih sekelas bumn tertawa perihal iuran nagihnya jaringan ga perhatiin bagus kebanyakan korupsi kahh,True,False,False
min klo marger telkomsel harga jngn ikut² admin layanan udh ktambahan pajak admin tnpa pemberitahuan yg jelas pelanggan mending kgk marger aja,True,False,False
indihomecare bantu ralat ya min rp rp min tidak notifikasi apapun kenaikan,True,False,False
baruuu bayar indihome tibatiba kenaikan bayar internet tdk beritahukan yakkkk kecewa sangattttt keren,True,False,False
gue tgl okt ajukan pemindahan wifi karna pindah kosan sampe bilangnya proses tau dah tagihan bulanan kocak pelayanan lambat nagih nomor kemaren aja pas pasang cepet bener sehari kelar giliran pindahin ampun ga jalan kompensasi pelayanan nya yg lambat jgn tagihan doang yg cepat,True,False,False
fna_cloth giliran cepet ngga konfirmasi tp kalo lg gangguan alot bagus,True,False,False
efanediar setuju,False,True,False
mohon maintenance gangguan mulu daerah jatikramat bekasi,True,False,False
efanediar bayar tsel kagak tertawa,True,False,False
kaget sih rb seenggaknya info nya kalo naikin harga untung bawa uang kalo engga ya malu,True,False,False
hallo min mohon infonya payment skrg apanya ya yg,False,True,False
anj tarif ga bilang,True,False,False
lapor ylki,True,False,False
indihomecare tidak info apapun baik wa email sms telpon kl ya gak jg komen min lega,True,False,False
naufaljayai kak kenaikankenapa yaaa normal aja bayarnya,False,True,False
enchanyudhistira ayo laporin aja,True,False,False
efanediar bangkrut ky na,True,False,False
nya bayar tagihan indihome berpindah haluan,True,False,False
dheeon_ copot modemnya balikin kantor,False,True,False
halo marbujang harga kualitas aja harga kau naikan marbujang,True,False,False
pas alat rusak lambat d perbaiki giliran telat bayar denda sdh jlas hrus d byar,True,False,False
indihomecare gak jelas lu,True,False,False
whakkkktnyta koment ny naikmanyala indihome ng ad pemberitahuan kagetnya pas mo dibyr bagus,True,False,False
efanediar,False,True,False
perusahaan besar belajar ngerampok diem malu atuh,True,False,False
harapanjaya_toko gak dapeeeetttt,True,False,False
tagihan tp tidak dibarengi peningkatan kualitas jaringan jaringan jumping mengganggu gugup keren,True,False,False
julitabhayangkari iyaa ka kaget pas byr tbtb tagihannya pemberitahuan keren,False,True,False
minimal info kalo kenaikan payah gk transparansinya,True,False,False
ayazsarass nungg statement bill nya mail dlu deh liat rinciannya yg aja,False,True,False
indihomecare informasi min,False,True,False
min history pembayaran bulan² ko ga cek tagihan ga jelas gini sih,True,False,False
aduhhh susah aja sih cek indhome si my telkomsel ubah nomor hp stop layanan tambahan marah,True,False,False
min bales pesan ku,False,True,False
loemoetblueholic belum bayar pakai ewallet rb linkaja,False,True,False
harapanjaya_toko kaga wa email ga telfon hahahahaahah,True,False,False
nggak pemberitahuan tau aja lega,True,False,False
wallsidn yess off course will do senyum cinta support uncle walsh with ice cream walls qt borong walls supermarket yeas senyum,False,False,True
wallsidn min d indomaret terdekat suka,False,False,True
ditunggu yaa min gambar kumis dikemasan wallsidn,False,True,False
wallsidn happy banget yg ditunggu walls eskrim terbaik nih,False,False,True
walsh yg disemangati walls,False,True,False
beda walls tp gpp suka duanya apresiasi,False,False,True
wallsidn mantap min ku borong es krim mu tertawa,False,False,True
elita_ray random bgt wkwkwk,False,True,False
wallsidn dinotice komen gua nyuruh wallsidn endorse bang sandy tertawa,False,True,False
wallsidn iya anakku beli es krim walls looo,False,False,True
woww apresiasi,False,False,True
min emang bener ya kalo es krim walls gambar uncle sandy manis bergizi senyum cinta wallsidn,False,False,True
wallsidn happy tolong bikin kemasan muka kumis ya min senang,False,False,True
theverdians ya sesuai julukan es krim,False,True,False
hahhahahahauncle tertawa,False,True,False
jualan beneran nangis,False,True,False
cocok wkwkwkw,False,False,True
ah jdi mkn suka walsh,False,False,True
sandywalsh ketemu jg es krim yg pas walls,False,False,True
wallsidn wadoh tertawa,False,True,False
anjirr sandy beneran ba dongg apresiasi tertawa,False,True,False
lengah dikit ba walls nangis sandywalsh,False,True,False
anak gw suka bnget beli es krim walls sma sandy wals keren,False,False,True
sukses walls and walsh tertawa,False,False,True
besok gw otw beli ice cream walls deh min supermarket senang,False,False,True
bang sandy endorse es krim walls tertawa,False,True,False
waw endorse pemain timnas senang,False,True,False
uncle sandywalsh ramah endorse ice cream walls cocok min besok otw beli ice creamnya senang,False,False,True
xunqi brand sebelah ka,False,True,False
hahaha ba nya tertawa,False,True,False
uncle sandy walsh dung dung tertawa,False,True,False
candralukito liat status nya sandy gua paham ice cream tertawa,False,True,False
plis adain paddle pop lagii senyum,False,True,False
anggirara_ aice kak,False,True,False
es krim walls emang eskrim terenak legend sih kecil kalo makan eskrim ya walls ngiler,False,False,True
iya wkwkwkwk,False,True,False
sandywalsh keren ba wallsidn senyum cinta keren,False,False,True
candralukito apresiasi,False,True,False
eskrim kesukaan ku anakku sih manisnya pas dn bkin ketagihan suka,False,False,True
pengen beli eskrim gara gara sandy walsh,False,False,True
pakai cup sandy walsh coba tertawa,False,True,False
pengen es krim euy,False,False,True
bang sandywalsh skrg gw beli es krim walls rutin ah ngga es krim mixue walls uenakkk keren suka,False,False,True
hahaha lupa pajang poto bang sandy yaa min,False,True,False
sandy walls,False,True,False
rekrut sandy walsh ba min tertawa,False,True,False
kesini gegara bang sandi ba wkwk,False,True,False
bg sandi tertawa,False,True,False
otw laris manis ba bang sandy senyum cinta,False,False,True
kesini gegara uncle walsh es krim walls tertawa,False,True,False
nunggu video nya bang sandy senyum cinta,False,False,True
es krim sandywalsh tertawa,False,True,False
akhirnyaaaa tertawa walsh ice cream,False,True,False
kesini gara liat status ig sandy cung tertawa,False,True,False
serius sandy ba min,False,True,False
kesini gara gara uncle sandy tertawa,False,True,False
kesini gara bang sandy tertawa apresiasi,False,True,False
plot twist bentar bininya ba es cream aice tertawa sopan,False,True,False
auto laris tertawa,False,False,True
ditunggu bang sandy walsh jd ba nya mimin walls keren,False,False,True
foto bang sandy ya min cup walsh senyum cinta bagus,False,False,True
pake edisi foto bang sandy walls min auto laris eskrim nyaaa tertawa,False,True,False
